"Active" "Recover" "Death"
3 0 0
3.47 0.69 0.09
3.9052945 1.4881 0.1941
4.32102913707995 2.386317735 0.311258835
4.72883977554684 3.38015443652839 0.440889709112399
5.13779493959713 4.46778758490416 0.582754902378804
5.55509529453131 5.6494804210115 0.736888750566718
5.98659348788478 6.9271523387537 0.903541609402657
6.43718121071738 8.3040688409672 1.0831394140392
6.91107816612618 9.7846205194322 1.27625485036072
7.41204862458735 11.3741684976412 1.48358719534451
7.94356458094976 13.0789396812963 1.70594865408213
8.50892959674268 14.9059595349148 1.94425559151062
9.11137376322981 16.8630133421656 2.1995234794129
9.75412752182668 18.9586293077084 2.47286469230979
10.4404800823036 21.2020786377286 2.7654885179646
11.1738267029926 23.6033890566584 3.0787029204337
11.9577080058623 26.1733691983467 3.41391772152348
12.795843692816 28.923642039695 3.77264896169935
13.6921624339061 31.8666860890427 4.15652427248383
14.6508292585785 35.0158834488411 4.56728914550101
15.6762714570538 38.3855741783142 5.00681402325837
16.7732037605207 41.9911166134365 5.47710216696998
17.9466533937867 45.8489534783563 5.9802982797856
19.2019854659772 49.9766837589272 6.5186978815992
20.5449290716436 54.393140416102 7.09475744557852
21.9816044072541 59.11847410258 7.71110531772783
23.5185511598259 64.1742431162485 8.37055344994545
25.1627583905035 69.5835098830084 9.07610998474023
26.9216961125278 75.3709443128242 9.83099273645533
28.8033487475829 81.5629344187056 10.6386436198312
30.8162506349299 88.1877046306497 11.5027440822586
32.9695237625522 95.2754422766835 12.4272316013065
35.2729178876216 102.858432742071 13.4163173141831
37.7368532141094 110.971203856224 14.4745048508118
40.3724657976732 119.650680095469 15.606610447235
43.1916558515521 128.936347228934 16.8177844211652
46.2071391317164 138.870428074791 18.1135340967118
49.432501584622 149.498070075085 19.4997482706633
52.8822574463428 160.867545439548 20.982723318202
56.5719109873658 173.030464652207 22.5691910415922
60.5180221027021 186.042004179301 24.2663483712132
64.7382759519671 199.961149262923 26.0818890342943
69.2515568584995 214.850952731875 28.0240373128533
74.078026680161 230.77881080933 30.1015840186083
79.2392078669279 247.816756945767 32.3239248190131
84.7580714214522 266.041774755161 34.7011010550209
90.6591299780961 285.536131182095 37.2438431976645
96.9685362131446 306.387731077057 39.9636170970074
103.714186793549 328.69049440608 42.8726731834017
110.92583206315 352.544757368596 45.9840987872082
118.635191653313 378.057698743121 49.3118737491027
126.876076188642 405.343792823383 52.8709294987021
135.684515237179 434.52529034677 56.6772117843614
145.098891627465 465.732728851322 60.7477472414767
155.160082221058 499.105473925638 65.1007139903007
165.911605187531 534.792292836482 69.7555164569324
177.399773778494 572.951962029614 74.7328646125583
189.673856536407 613.753909998668 80.0548578259131
202.786243801424 657.378897002041 85.7450735220054
216.792620293645 704.019733076369 91.8286608360481
231.752143447099 753.882035743907 98.3324394448574
247.727627053521 807.18502873674 105.28500374827
264.78572963642 864.16238295905 112.716832559876
282.997146816574 925.063100775426 120.660404448969
302.436806746413 990.152444543238 129.150318853466
323.184067479954 1059.71291009491 138.223423055858
345.322914904042 1134.0452456153 147.918945080257
368.942159582531 1213.46951604323 158.278632527378
394.135630554325 1298.32621274721 169.346897314854
